Customer_ID,Customer_Name,Product_ID,Product_Name,Category,Price,Quantity,Transaction_Date,Total_Amount
115edf52-1291-4027-a5f7-f966c5e6add5,Jay Potter,f9babb05-4ca4-49f3-8121-128939b84781,Wonder,Home & Kitchen,499.55,1,2024-06-20,499.55
7c9b84de-6855-4a4d-af53-b71cf6dc36e4,Brianna Lawson,34e7bb20-7aab-423b-ac8b-17e455e3e654,More,Home & Kitchen,83.97,1,2024-01-07,83.97
3f849d03-1c23-4f9f-8516-b5734ab66c16,Tara Klein,c83981d0-ff91-4afb-8d5c-8ab0acaa4cea,Present,Clothing,464.59,1,2024-05-18,464.59
30f2497b-0e1b-4ba9-a0e0-3f9cef78d78b,William Camacho,6ef63984-a996-4789-af4e-51ecc7951675,Weight,Sports,143.66,4,2024-01-25,574.64
17f4b4b8-53cb-4e42-ab15-9191169755e3,Steven Archer,542a8e0d-e44e-4c65-8df1-34f0102d4574,Or,Toys,326.34,5,2024-05-11,1631.7
b96789d6-069c-4c78-8fb0-415371e9c922,Mary Allen,7bf6f8ed-b3db-495e-9327-2a665b17e6f5,Rule,Home & Kitchen,6.69,10,2024-08-09,66.9
8c310b9f-aa43-4d09-bf74-a6b3234469f1,Megan Willis,e3086c83-e030-4ee9-bca4-d33583816d4e,Management,Toys,247.45,10,2024-07-23,2474.5
f364c357-53bc-44fe-9cec-4c729b5640a1,Alexandra Townsend,976186c6-ab2c-4a2e-bc14-9c67ee3c9dbe,Research,Clothing,425.87,2,2024-04-06,851.74
8a848599-9172-4674-94d5-ca944350f8cb,Crystal Lewis,9ea542e2-7b3d-4e6e-a8fc-122cba6b0328,Evidence,Electronics,69.69,10,2024-05-06,696.9
e0d5a851-79eb-48d1-8c90-e8e2a759cf37,Perry Morgan,71d2c643-5163-472b-bc58-d4fdfd5564f6,Some,Clothing,78.02,3,2024-06-26,234.06
a7aebf3c-7126-44b4-8e40-c9ebbeeb8e29,Eric Ortega,9263ca5b-2dde-44e9-bf5c-c326422928b9,Former,Sports,7.57,1,2024-06-19,7.57
f2098d72-2f2f-4661-8bf1-e531663ce7a1,Matthew Johnson,8785c775-00fb-4940-a892-6390d2620596,Growth,Toys,366.56,4,2024-03-24,1466.24
e617e76a-644e-4b90-a606-ed0c72211ad7,Sheryl Hernandez,af00a1a0-b0f3-44fe-b8d1-20931781c50d,Dream,Electronics,460.99,8,2024-03-15,3687.92
01697978-0df1-4749-a397-1a7c01000fce,Lawrence Colon,65d1e6c0-9213-45c0-a157-cf35083c0c60,Law,Home & Kitchen,190.83,8,2024-06-23,1526.64
b574eecd-ad2c-4d34-bd2d-ce91e1303372,Alexander Page,68c9718b-390b-484e-9133-ae656f0651cf,Build,Home & Kitchen,351.57,2,2024-08-09,703.14
a0e4a047-47ee-479a-8d9f-52019f5ad39d,Benjamin Howell,428c6bae-dea3-445b-b9a7-c0a0daa1a5fa,Say,Toys,97.8,2,2024-08-30,195.6
5a1bf0b8-6d3f-459a-a2c3-e5bdbed6a965,Austin Duarte,e7c5dc08-1cdc-4026-8f4e-1490c3dfe297,Require,Sports,461.35,5,2024-07-19,2306.75
0f6086bf-30a4-4cb0-a223-f392cafc546a,Jillian Murphy,3fce7281-0f7d-4c95-8435-674b78ca4cf8,Traditional,Electronics,150.81,4,2024-02-04,603.24
d2b0bdb4-bcea-4f0e-b256-f1f39c4a2843,Karen Burke,a60df2fe-1fa4-4e30-b510-10a20459ae3b,Win,Toys,265.08,10,2024-06-23,2650.8
e0d030f9-c5e9-4162-a329-fdfcdf1f57f2,Mark West II,b607f290-5dbd-4378-b335-73b49fa58df3,Another,Sports,64.31,7,2024-02-02,450.17
e0db1896-ff3e-484e-bdf2-e3aecaef9cea,Steven Carroll,64a96bbf-8214-45e0-a8df-f24eb9cf5139,Above,Electronics,485.79,9,2024-04-06,4372.11
f9db185d-b607-4c4e-b361-1c3e46ae2ab7,Andre Davis,e6d70a5a-5b3b-48a7-8d0e-22c673f31c33,Itself,Electronics,197.72,9,2024-05-31,1779.48
9371780d-7167-4f05-962b-917cb3009953,Cody Mcgrath,9d85fb25-c47b-4bd7-9b63-25e28f6cab14,Loss,Clothing,466.64,9,2024-01-30,4199.76
18e905ce-3e7c-4465-9146-129c38f7241e,Mr. Bobby Armstrong,f23f0b3c-8126-42e9-b823-05b9a0b90b49,Man,Toys,189.89,3,2024-02-15,569.67
65ba9706-8807-46aa-b5bb-1b3f02d7f469,Rita White,c431ea12-069e-4384-8f9b-893eba1ac295,Certainly,Clothing,404.43,9,2024-05-16,3639.87
6c70fdfa-60f7-4e40-bd33-120a756548a7,Eric Roach,be32455d-47cd-4778-8912-6019de0df3f9,Away,Clothing,115.79,3,2024-01-14,347.37
e3dc0039-e560-4964-8c5a-ba89751977b6,Jamie Strong,64bcde8f-25e6-4553-9805-4a274d777b1e,Involve,Electronics,234.59,1,2024-03-04,234.59
914cd0ad-88ca-46f4-8f92-13c01393ec47,James Ford,a72b71d7-b574-4125-9902-ac47cd6a7922,Blue,Electronics,218.47,3,2024-05-13,655.41
28684d8a-98ce-4664-be4a-2666e7a468e0,Tina Thompson,4d9a6e23-ce8a-4c4d-a028-16dcb314165f,Section,Home & Kitchen,257.44,10,2024-08-13,2574.4
2af0509d-78e2-4079-a98a-0dc65e2e1747,Lisa Oneill,8da75b0d-e587-4f95-9a75-f24207ae4f60,Human,Electronics,146.0,1,2024-07-08,146.0
d9759f7d-5565-4a5d-9214-88b4a24e0bf4,Sarah Carr,3991e6e6-81d8-4033-8cea-1d4cdf7aaf7b,Television,Clothing,83.81,6,2024-04-21,502.86
8136cca6-15dd-44a8-90bb-6feee9ef0d45,Sonia Flores,dbb54eb5-ce3f-4a2c-8d51-d733e760ecce,None,Home & Kitchen,390.4,8,2024-02-02,3123.2
1393c7d5-07eb-4ce5-a957-f4cc8d14eea2,Cassandra Smith,84408ab1-fc70-48f8-a732-f0e2a83fb297,Place,Home & Kitchen,231.0,2,2024-01-27,462.0
bb4417d5-9feb-4e82-bb60-e59ca9ad347b,Thomas Jones,3612d71b-6473-4c50-b78c-79aacd771b9f,Give,Electronics,181.67,8,2024-04-04,1453.36
6c1387e3-028d-4351-9de6-f5a17bb256da,Wendy Wells,12178c1d-8a37-4adc-82b4-c1c3e07521f2,Box,Clothing,360.75,9,2024-08-16,3246.75
